item_id,claim_id,category,description,rcv,purchase_date
LI-0001,CLM-24-0217,jewelry,gold bracelet,1200.00,2019-06-12
LI-0002,CLM-24-0217,electronics,desktop computer,5125.00,2023-02-01
LI-0003,CLM-24-0217,furniture,dining set,2800.00,2023-06-05
LI-0004,CLM-24-0305,furniture,living room set,24000.00,2022-09-01
LI-0005,CLM-24-0305,electronics,home theatre,9800.00,2023-01-15
LI-0006,CLM-24-0305,appliances,kitchen appliances,16500.00,2021-03-10
LI-0007,CLM-24-0305,clothing,wardrobe,18000.00,2022-01-01
LI-0008,CLM-24-0305,art,framed prints,3200.00,2018-05-05
LI-0009,CLM-24-0412,jewelry,diamond earrings,1900.00,2020-12-20
LI-0010,CLM-24-0412,electronics,tablet,899.00,2023-09-10
LI-0011,CLM-24-0601,electronics,laptop,2400.00,2023-03-15
LI-0012,CLM-24-0601,electronics,camera,1650.00,2022-11-02
LI-0013,CLM-24-0601,jewelry,watch,1100.00,2021-07-04
LI-0014,CLM-24-0601,cash,cash from safe,180.00,2024-05-01
LI-0015,CLM-24-0601,tools,cordless drill set,640.00,2022-05-20
LI-0016,CLM-24-0602,furniture,sofa,3200.00,2022-12-01
LI-0017,CLM-24-0602,electronics,television,1800.00,2023-12-01
LI-0018,CLM-24-0602,books_media,book collection,950.00,2015-06-01
LI-0019,CLM-24-0603,electronics,gaming console,560.00,2023-10-10
LI-0020,CLM-24-0603,jewelry,necklace,900.00,2018-02-14
LI-0021,CLM-24-0603,clothing,leather jacket,420.00,2023-01-10
LI-0022,CLM-24-0616,furniture,bedroom set,4100.00,2021-04-30
LI-0023,CLM-24-0616,appliances,washer,1290.00,2020-10-31
LI-0024,CLM-24-0604,furniture,patio furniture,6800.00,2021-06-01
LI-0025,CLM-24-0604,electronics,outdoor speakers,2150.00,2022-03-08
LI-0026,CLM-24-0604,sporting_goods,kayaks,3600.00,2020-06-08
LI-0027,CLM-24-0604,tools,garage tools,7900.00,2016-06-08
LI-0028,CLM-24-0604,appliances,chest freezer,1400.00,2023-12-08
LI-0029,CLM-24-0605,furniture,deck furniture,2250.00,2023-03-03
LI-0030,CLM-24-0605,electronics,weather station,480.00,2023-09-03
LI-0031,CLM-24-0605,sporting_goods,trampoline,1150.00,2022-06-03
LI-0032,CLM-24-0606,jewelry,wedding ring,900.00,2016-09-24
LI-0033,CLM-24-0606,jewelry,gold chain,800.00,2019-11-30
LI-0034,CLM-24-0606,jewelry,pearl earrings,700.00,2021-02-14
LI-0035,CLM-24-0606,cash,cash,350.00,2024-06-01
LI-0036,CLM-24-0606,electronics,laptop,1900.00,2023-02-02
LI-0037,CLM-24-0607,jewelry,signet ring (found missing),600.00,2015-08-08
LI-0038,CLM-24-0607,electronics,television,1500.00,2022-12-17
LI-0039,CLM-24-0607,furniture,bookcase,800.00,2022-02-17
LI-0040,CLM-24-0608,furniture,kitchen table,1450.00,2022-05-10
LI-0041,CLM-24-0608,appliances,microwave,310.00,2023-05-10
LI-0042,CLM-24-0608,electronics,smart speaker,199.00,2024-01-10
LI-0043,CLM-24-0609,jewelry,bracelet,1800.00,2017-03-03
